                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5778,                 2.4545,                 2.1336,                0.40831,                0.54378,                0.41986,                 0.1341,                 2.2493,                 1.6708,                 1.8007,                  0.082,                  0.002,                  0.002
                      1,                 2.1463,                  1.784,                 1.7162,                0.43318,                0.65154,                0.47503,                0.16116,                  2.216,                 1.5844,                 1.6686,               0.062938,              0.0039376,              0.0039376
                      2,                 2.0244,                 1.5984,                  1.567,                0.46919,                0.62442,                0.50729,                0.18386,                 2.2066,                  1.394,                 1.6025,               0.043709,               0.005709,               0.005709
                      3,                  1.964,                 1.5678,                 1.5194,                 0.3685,                0.68436,                0.40411,                0.13757,                 2.0998,                 1.8366,                 1.6117,               0.024314,               0.007314,               0.007314
                      4,                 1.9189,                 1.6962,                 1.4903,                0.55179,                0.46083,                0.53037,                0.20666,                  2.124,                 1.7145,                 1.5398,               0.008416,               0.008416,               0.008416
                      5,                 1.9558,                 1.4688,                 1.4847,                0.47971,                0.66129,                0.48223,                0.17375,                 2.0919,                 1.4726,                 1.5788,               0.008416,               0.008416,               0.008416
                      6,                 1.8815,                 1.3887,                 1.4395,                0.49986,                0.73921,                0.59854,                0.22144,                 2.0872,                 1.3463,                 1.5637,                0.00802,                0.00802,                0.00802
                      7,                 1.8571,                 1.3199,                 1.4276,                0.46269,                0.70507,                0.56199,                  0.202,                 2.1243,                 1.3471,                 1.5886,               0.007624,               0.007624,               0.007624
                      8,                 1.8289,                 1.3257,                 1.4218,                0.52549,                0.73272,                0.59507,                0.22215,                 2.1597,                 1.2714,                  1.578,               0.007228,               0.007228,               0.007228
                      9,                 1.8196,                 1.2865,                 1.4217,                0.50028,                0.67972,                0.59083,                  0.219,                 2.1034,                 1.3268,                 1.5568,               0.006832,               0.006832,               0.006832
                     10,                 1.7927,                 1.2413,                 1.4215,                0.54369,                0.65668,                0.59811,                0.22016,                  2.131,                 1.3041,                 1.5633,               0.006436,               0.006436,               0.006436
                     11,                 1.8244,                 1.2505,                 1.4186,                0.50999,                0.70737,                0.61339,                0.24309,                 2.1022,                 1.2252,                 1.5426,                0.00604,                0.00604,                0.00604
                     12,                 1.7682,                 1.1971,                 1.3814,                0.49178,                0.75805,                0.59755,                0.23501,                 2.0551,                 1.2366,                 1.5341,               0.005644,               0.005644,               0.005644
                     13,                 1.7545,                 1.1772,                 1.3838,                0.52574,                0.80645,                0.64713,                0.26091,                 2.0832,                 1.1729,                 1.5425,               0.005248,               0.005248,               0.005248
                     14,                 1.7507,                 1.1624,                 1.3769,                0.49956,                0.76728,                0.60923,                 0.2458,                 2.0878,                 1.2062,                 1.5236,               0.004852,               0.004852,               0.004852
                     15,                 1.7562,                 1.1357,                 1.3946,                0.51617,                0.71659,                0.59732,                0.22406,                 2.1396,                 1.2347,                 1.5502,               0.004456,               0.004456,               0.004456
                     16,                 1.7245,                 1.1244,                  1.408,                 0.5255,                0.76267,                0.62781,                0.24037,                 2.1074,                 1.1909,                 1.5419,                0.00406,                0.00406,                0.00406
                     17,                 1.7365,                 1.0984,                 1.3946,                0.51335,                0.75806,                0.61353,                0.23776,                 2.1283,                 1.1843,                 1.5457,               0.003664,               0.003664,               0.003664
                     18,                 1.7304,                 1.0731,                 1.3981,                0.53154,                0.74424,                0.62591,                0.24906,                 2.1131,                 1.1757,                 1.5706,               0.003268,               0.003268,               0.003268
                     19,                 1.6902,                 1.0712,                 1.3788,                0.51922,                0.79627,                0.61784,                0.24445,                 2.0772,                 1.1738,                 1.5505,               0.002872,               0.002872,               0.002872
                     20,                 1.6718,                 1.0337,                 1.3722,                 0.5499,                0.77976,                0.65391,                0.25855,                 2.0804,                  1.142,                 1.5495,               0.002476,               0.002476,               0.002476
                     21,                 1.6743,                 1.0451,                 1.3637,                0.55284,                0.74194,                0.64104,                0.25213,                 2.0787,                 1.1629,                 1.5549,                0.00208,                0.00208,                0.00208
                     22,                 1.6286,                 1.0381,                 1.3577,                0.53242,                0.73041,                0.61571,                0.24662,                 2.0768,                 1.1736,                 1.5511,               0.001684,               0.001684,               0.001684
                     23,                  1.615,                 1.0181,                 1.3423,                0.53473,                0.71198,                0.61647,                0.24091,                 2.0991,                 1.1786,                 1.5526,               0.001288,               0.001288,               0.001288
                     24,                 1.6108,                 1.0152,                 1.3611,                0.53559,                0.73733,                0.62394,                0.24162,                 2.1034,                 1.1766,                 1.5517,               0.000892,               0.000892,               0.000892
